998 »ùÀÐ ÁÖ¿¨
100 ¡õ¡õ ¡õ¡õ
101 ¡õ¡õ ¡õ¡õ
110 ¡ö¡ö ¡ö¡ö
111 ¡ö¡ö ¡ö¡ö
112 ¡ö¡ö ¡ö¡ö
113 ¡õ¡õ ¡õ¡õ
200 »ÆÉ« Ô¿³×
201 À¶É« Ô¿³×
202 ºìÉ« Ô¿³×
210 ºìÉ« ±¦Ê¯
211 µÍ¼¶ ÑªÆ¿
212 À¶É« ±¦Ê¯
213 ¸ß¼¶ ÑªÆ¿
220 Ìú½£ A+10
221 ¸Ö½£ A+20
222 Òø½£ A+30
223 Ê¥½£ A+40
224 Éñ½£ A+50
230 Ìú¶Ü D+10
231 ¸Ö¶Ü D+20
232 Òø¶Ü D+30
233 Ê¥¶Ü D+40
234 Éñ¶Ü D+50
300 ¡ø¡ø ¡ø¡ø
301 ¡ø¡ø ¡ø¡ø
302 ¡ø¡ø ¡ø¡ø
303 ¡ø¡ø ¡ø¡ø
304 ¡ø¡ø ¡ø¡ø
305 ¡ø¡ø ¡ø¡ø
306 ¡ø¡ø ¡ø¡ø
307 ¡ø¡ø ¡ø¡ø
308 ¡ø¡ø ¡ø¡ø
309 ¡ø¡ø ¡ø¡ø
310 ¨‹¨‹ ¨‹¨‹
311 ¨‹¨‹ ¨‹¨‹
312 ¨‹¨‹ ¨‹¨‹
313 ¨‹¨‹ ¨‹¨‹
314 ¨‹¨‹ ¨‹¨‹
315 ¨‹¨‹ ¨‹¨‹
316 ¨‹¨‹ ¨‹¨‹
317 ¨‹¨‹ ¨‹¨‹
318 ¨‹¨‹ ¨‹¨‹
319 ¨‹¨‹ ¨‹¨‹
1111 ÂÌÊ· À³Ä·
1112 ºìÊ· À³Ä·
1113 ºÚÊ· À³Ä·
1121 Ð¡ÐÍ òùòð
1122 ´óÐÍ òùòð
1123 ºìÉ« òùòð
1131 ³õ¼¶ ·¨Ê¦
1132 ¸ß¼¶ ·¨Ê¦
1141 ÷¼÷Ã ¡öÈË
