0 [R]键：保留技能，作者并不知道有什么用
1 [H]键：作弊本，游戏店里五块买来的。可以查看当前层怪物的数值
2 [N]键：录音笔，偷听专用。可以查看一路上遇到的傻逼老头子说的话
3 [U][D]：可在任何地方向去过没去过的上下楼层随便跳跃，仅限测试。如果在正常游戏中看到此功能，请向开发者反映该问题。
4 [PgUp][PgDn]：随身电梯，电梯使用标志是复印的。可在楼梯旁边向去过的上下楼层跳跃
5 [I]键：灭火器，压力表的指针指向黄色区域的中心，怎么喷都喷不完。可以消除岩浆
6 [P]键：小锤40，先付钱后拆墙。可以破坏你周围的墙面。消耗品，限1次。
7 [Q]键：大锤80，先付钱后拆墙。可以破坏整层的墙面。消耗品，限1次。
8 [B]键：莫洛托夫鸡尾酒，纯度98，绝无掺水。可以炸死你周围的敌人（BOSS无效）。消耗品，限1次。
9 [W]键：新鲜妹♀汁，450一杯。以不明原理增加你的血量。消耗品，限1次。
10 [J]键：电风扇，魔塔的降温设施十分完备。可到达你在本层的中心对称点。消耗品，总计能使用3次。
11 [U]键：冲天锤，上面标着“非紧勿动”。如果可能可以到达上一楼层的对应点。消耗品，限1次。
12 [D]键：大钻头，上面标着“山东蓝翔”。如果可能可以到达下一楼层的对应点。消耗品，限1次。
13 [K]键：两根铁丝。可以打开本层所有的黄门。消耗品，限1层。
